Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,18.875,18.625,18.8125,18.8125,110000,18.8125
2000-01-04,18.8125,18.625,18.75,18.75,176500,18.75
2000-01-05,18.875,18.625,18.75,18.6875,135400,18.6875
2000-01-06,19.25,18.625,18.75,19.25,186800,19.25
2000-01-07,20.375,19.1875,19.25,20.25,190200,20.25
2000-01-10,20.5,20.0625,20.3125,20.375,64400,20.375
2000-01-11,20.25,19.5,20.25,19.625,56900,19.625
2000-01-12,20.25,19.75,19.75,20.0,96100,20.0
2000-01-13,20.0625,19.625,19.875,19.9375,164200,19.9375
2000-01-14,20.0625,19.75,20.0,19.75,53400,19.75
2000-01-18,20.0625,19.8125,20.0,20.0,64000,20.0
2000-01-19,20.125,19.75,19.875,20.125,154100,20.125
2000-01-20,20.25,20.125,20.1875,20.1875,51900,20.1875
2000-01-21,20.1875,20.0625,20.1875,20.1875,29200,20.1875
2000-01-24,20.1875,20.0,20.125,20.0,52600,20.0
2000-01-25,20.125,19.875,20.0,20.0,66700,20.0
2000-01-26,20.0625,20.0,20.0625,20.0,34200,20.0
2000-01-27,20.125,20.0,20.0625,20.0625,61000,20.0625
2000-01-28,20.0625,20.0,20.0,20.0625,33400,20.0625
2000-01-31,20.0625,19.9375,19.9375,19.9375,57100,19.9375
2000-02-01,20.0625,19.875,20.0625,20.0625,49100,20.0625
2000-02-02,20.0625,19.625,20.0625,19.6875,171500,19.6875
2000-02-03,19.8125,19.6875,19.75,19.75,34500,19.75
2000-02-04,19.6875,19.4375,19.625,19.4375,73000,19.4375
2000-02-07,19.5,19.1875,19.375,19.1875,99200,19.1875
2000-02-08,19.25,19.0,19.1875,19.125,73500,19.125
2000-02-09,19.25,18.875,19.1875,19.125,70600,19.125
2000-02-10,19.375,18.9375,19.0,19.3125,33400,19.3125
2000-02-11,19.25,18.75,19.1875,18.75,77400,18.75
2000-02-14,18.75,17.75,18.75,18.0,143600,18.0
2000-02-15,18.25,17.875,18.0,18.0,249000,18.0
2000-02-16,18.125,17.875,18.0,17.875,97100,17.875
2000-02-17,18.0625,17.9375,17.9375,18.0625,70100,18.0625
2000-02-18,18.375,18.0625,18.0625,18.1875,113000,18.1875
2000-02-22,18.5,18.0625,18.125,18.5,83500,18.5
2000-02-23,18.6875,18.125,18.375,18.625,85000,18.625
2000-02-24,18.5,18.0625,18.5,18.25,49900,18.25
2000-02-25,18.5,18.25,18.25,18.375,37200,18.375
2000-02-28,18.75,18.375,18.375,18.625,57300,18.625
2000-02-29,19.25,18.625,18.75,19.25,114200,19.25
2000-03-01,19.25,18.9375,19.1875,19.125,109400,19.125
2000-03-02,19.0625,19.0,19.0625,19.0,39600,19.0
2000-03-03,19.25,18.9375,19.25,19.0625,135200,19.0625
2000-03-06,19.1875,18.8125,19.0,19.1875,184300,19.1875
2000-03-07,19.25,18.75,19.1875,18.75,128000,18.75
2000-03-08,19.0,18.875,18.875,19.0,58400,19.0
2000-03-09,19.0,18.75,18.9375,18.875,31800,18.875
2000-03-10,18.9375,18.6875,18.8125,18.75,42500,18.75
2000-03-13,18.875,18.6875,18.75,18.75,17600,18.75
2000-03-14,19.0,18.75,18.75,18.875,49800,18.875
2000-03-15,18.9375,18.625,18.9375,18.75,285500,18.75
2000-03-16,19.0,18.875,18.875,19.0,68400,19.0
2000-03-17,19.25,19.0,19.0,19.1875,61800,19.1875
2000-03-20,19.375,19.0,19.0625,19.3125,111500,19.3125
2000-03-21,19.6875,19.0,19.1875,19.6875,53200,19.6875
2000-03-22,19.125,18.5,19.0625,19.0,66600,19.0
2000-03-23,19.0,18.5,18.875,18.8125,59800,18.8125
2000-03-24,18.9375,18.5625,18.625,18.5625,71900,18.5625
2000-03-27,18.9375,18.625,18.6875,18.8125,80500,18.8125
2000-03-28,19.0,18.75,18.75,18.875,76200,18.875
2000-03-29,19.0625,18.875,18.9375,19.0,142300,19.0
2000-03-30,19.125,19.0,19.0,19.125,39400,19.125
2000-03-31,19.3125,19.0,19.0625,19.3125,41400,19.3125
