Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,23.625,22.1875,23.0,23.4375,1810300,23.4375
2000-01-04,23.125,21.75,23.125,21.9375,1153400,21.9375
2000-01-05,22.375,21.5,22.0625,22.1875,1309500,22.1875
2000-01-06,24.25,22.0625,22.125,23.75,2030600,23.75
2000-01-07,24.25,23.25,23.9375,23.5,1195700,23.5
2000-01-10,25.875,24.0,25.5,24.0,2476300,24.0
2000-01-11,28.0625,25.0,25.25,27.0,5369300,27.0
2000-01-12,27.4375,25.5,27.4375,25.9375,2052200,25.9375
2000-01-13,26.6875,25.625,26.0,26.375,1131500,26.375
2000-01-14,27.0,26.0625,27.0,26.375,1055400,26.375
2000-01-18,27.0,25.9375,26.3125,26.8125,1328700,26.8125
2000-01-19,26.875,26.0,26.625,26.1875,889100,26.1875
2000-01-20,26.125,25.25,26.0625,25.25,1538800,25.25
2000-01-21,25.9375,25.0,25.9375,25.125,1622000,25.125
2000-01-24,25.375,24.8125,25.125,24.875,799200,24.875
2000-01-25,22.75,21.25,22.0,22.0,4931900,22.0
2000-01-26,22.0,21.375,21.9375,21.6875,1739800,21.6875
2000-01-27,21.9375,20.125,21.875,20.875,3096400,20.875
2000-01-28,20.9375,20.125,20.9375,20.125,1084000,20.125
2000-01-31,20.9375,20.0,20.0625,20.5625,952200,20.5625
2000-02-01,21.0625,20.5,20.875,20.875,1244000,20.875
2000-02-02,21.1875,20.3125,20.875,20.375,1533300,20.375
2000-02-03,20.9375,20.375,20.75,20.5625,1375500,20.5625
2000-02-04,20.875,20.375,20.5,20.5,550300,20.5
2000-02-07,20.6875,20.25,20.5,20.3125,574200,20.3125
2000-02-08,21.1875,20.375,20.6875,20.375,973700,20.375
2000-02-09,20.5625,20.25,20.4375,20.375,918900,20.375
2000-02-10,20.5,18.9375,20.5,19.125,2522800,19.125
2000-02-11,19.4375,18.8125,19.4375,18.875,3993600,18.875
