Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,35.25,32.75,33.0,34.25,9266900,34.25
2000-01-04,35.5,34.25,34.3125,34.5,5109300,34.5
2000-01-05,36.9375,34.625,35.0,36.625,5841200,36.625
2000-01-06,38.3125,36.3125,36.5625,38.0,6130500,38.0
2000-01-07,43.0,39.3125,39.75,42.25,11537600,42.25
2000-01-10,43.25,41.4375,41.625,41.9375,6966700,41.9375
2000-01-11,43.0625,41.4375,41.5625,42.125,4413700,42.125
2000-01-12,42.0625,41.3125,41.625,42.0625,3243300,42.0625
2000-01-13,44.125,41.9375,42.0,43.5,5029300,43.5
2000-01-14,44.9375,43.625,44.75,43.875,5759600,43.875
2000-01-18,44.875,43.875,44.5,44.375,5947800,44.375
2000-01-19,45.625,44.25,44.625,44.9375,4288100,44.9375
2000-01-20,46.125,44.0,45.75,44.0,6083200,44.0
2000-01-21,45.0,43.3125,45.0,43.5625,6105200,43.5625
2000-01-24,44.9375,42.375,44.25,43.0625,5749800,43.0625
2000-01-25,45.0,43.625,43.75,44.5625,3742800,44.5625
2000-01-26,46.3125,44.5,44.75,46.125,6589300,46.125
2000-01-27,47.5,45.3125,46.875,46.4375,4539700,46.4375
2000-01-28,46.1875,44.3125,46.1875,44.8125,3981200,44.8125
2000-01-31,45.75,43.25,44.8125,45.75,3717100,45.75
2000-02-01,46.5,44.96875,45.5,46.375,2960700,46.375
2000-02-02,46.5625,44.75,46.125,45.0,3099000,45.0
2000-02-03,45.8125,44.0,45.375,45.75,3275900,45.75
2000-02-04,49.625,45.9375,46.0,48.0625,5717100,48.0625
2000-02-07,49.25,47.5,47.875,49.25,4373700,49.25
2000-02-08,49.6875,48.6875,49.0,49.625,3328600,49.625
2000-02-09,49.6875,48.75,49.5,48.875,3685400,48.875
2000-02-10,49.1875,48.0,49.0,48.0,2088800,48.0
2000-02-11,48.75,45.0,48.75,46.0,6163300,46.0
2000-02-14,48.0625,46.1875,46.375,46.375,4625300,46.375
2000-02-15,46.625,44.875,46.625,45.4375,4631000,45.4375
2000-02-16,46.0,44.0625,45.4375,44.25,4768700,44.25
2000-02-17,47.25,46.1875,46.25,46.5625,5653400,46.5625
