Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,39.0625,36.25,38.6875,37.96875,6564600,37.96875
2000-01-04,37.90625,36.4375,37.375,36.5,7220800,36.5
2000-01-05,37.375,35.03125,36.0625,36.375,6763800,36.375
2000-01-06,37.65625,35.875,36.375,37.0,6338400,37.0
2000-01-07,36.875,34.0,36.875,35.25,9467200,35.25
2000-01-10,37.75,35.53125,36.125,37.1875,6577200,37.1875
2000-01-11,38.375,35.875,37.125,36.1875,5623000,36.1875
2000-01-12,38.15625,35.5625,36.625,37.0,9311400,37.0
2000-01-13,38.9375,36.875,37.4375,38.9375,8237000,38.9375
2000-01-14,39.1875,36.25,38.5625,36.625,12218800,36.625
2000-01-18,37.25,36.03125,36.71875,36.78125,9293000,36.78125
2000-01-19,37.1875,35.75,36.75,36.0625,10653200,36.0625
2000-01-20,36.4375,34.75,36.1875,34.875,12001800,34.875
2000-01-21,35.75,32.5625,35.75,33.5625,15470200,33.5625
2000-01-24,35.5,33.65625,33.65625,34.75,11949000,34.75
2000-01-25,34.875,32.25,34.46875,32.9375,17025400,32.9375
2000-01-26,33.875,31.5,32.96875,31.78125,13137200,31.78125
2000-01-27,32.875,31.78125,31.90625,32.375,7790800,32.375
2000-01-28,33.0,29.53125,31.9375,29.75,13778600,29.75
2000-01-31,31.25,29.125,30.375,31.09375,11168800,31.09375
2000-02-01,32.0,30.25,31.0625,31.75,8346800,31.75
2000-02-02,33.40625,31.75,32.46875,32.9375,12191000,32.9375
2000-02-03,34.5,32.4375,33.0,34.0,9175400,34.0
2000-02-04,34.09375,32.75,34.09375,33.6875,8193000,33.6875
2000-02-07,37.09375,33.75,33.75,37.0,14433200,37.0
2000-02-08,38.1875,36.4375,37.03125,38.03125,13221200,38.03125
2000-02-09,38.8125,36.625,38.03125,36.625,12856600,36.625
2000-02-10,37.15625,34.9375,37.125,36.1875,11891800,36.1875
2000-02-11,36.875,34.625,35.75,35.5625,9808800,35.5625
2000-02-14,35.125,33.5,34.25,33.875,7839600,33.875
2000-02-15,35.5,32.75,34.96875,34.5,12767600,34.5
2000-02-16,35.375,32.75,35.375,33.09375,10502400,33.09375
2000-02-17,34.21875,32.46875,33.1875,32.625,13026200,32.625
2000-02-18,32.90625,31.09375,32.875,31.5625,10657200,31.5625
2000-02-22,32.8125,31.5625,32.25,32.25,8937200,32.25
2000-02-23,33.59375,32.0,32.5,33.5,8480800,33.5
2000-02-24,36.3125,33.0,33.875,35.0625,13187600,35.0625
2000-02-25,37.34375,35.28125,35.75,36.8125,10543400,36.8125
2000-02-28,39.75,35.8125,37.125,39.03125,14204800,39.03125
2000-02-29,49.96875,39.5,39.5,48.0,45132000,48.0
