Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,2.5625,2.4765625,2.546875,2.5390625,14484000.0,1.2320586442947388
2000-01-04,2.53125,2.328125,2.5078125,2.40625,18216800.0,1.1676125526428223
2000-01-05,2.4296875,2.3359375,2.40625,2.3359375,24022400.0,1.1334949731826782
2000-01-06,2.59375,2.4609375,2.5,2.4765625,26992000.0,1.201731562614441
2000-01-07,2.6015625,2.4375,2.484375,2.5390625,17420000.0,1.2320586442947388
2000-01-10,2.5390625,2.4921875,2.5234375,2.5,15232800.0,1.2131043672561646
2000-01-11,2.5234375,2.453125,2.5,2.4609375,19578400.0,1.1941496133804321
2000-01-12,2.46875,2.4375,2.4609375,2.4375,16377600.0,1.1827768087387085
2000-01-13,2.4609375,2.3828125,2.4375,2.4375,18737600.0,1.1827768087387085
2000-01-14,2.4921875,2.421875,2.4296875,2.4609375,9264800.0,1.1941496133804321
2000-01-18,2.4453125,2.3671875,2.4296875,2.3828125,7888000.0,1.1562397480010986
2000-01-19,2.421875,2.296875,2.4140625,2.3046875,14485600.0,1.1183305978775024
2000-01-20,2.375,2.2734375,2.359375,2.3125,9239200.0,1.1221219301223755
2000-01-21,2.2890625,2.109375,2.28125,2.15625,43389600.0,1.0463025569915771
2000-01-24,2.1484375,2.0625,2.09375,2.078125,28382400.0,1.0083932876586914
2000-01-25,2.1484375,2.0703125,2.078125,2.125,13167200.0,1.03113853931427
2000-01-26,2.1875,2.1015625,2.1015625,2.171875,16465600.0,1.053884506225586
2000-01-27,2.2265625,2.109375,2.1640625,2.140625,12228800.0,1.0387204885482788
2000-01-28,2.1171875,2.03125,2.109375,2.0390625,13932000.0,0.9894381761550903
2000-01-31,2.0625,2.0078125,2.046875,2.0390625,11296800.0,0.9894381761550903
2000-02-01,2.0859375,2.0078125,2.0078125,2.078125,10495200.0,1.0083932876586914
2000-02-02,2.21875,2.0078125,2.0859375,2.1875,11921600.0,1.0614662170410156
2000-02-03,2.3203125,2.125,2.15625,2.2734375,22321600.0,1.1031665802001953
2000-02-04,2.328125,2.15625,2.2734375,2.2890625,21488800.0,1.1107488870620728
2000-02-07,2.2421875,2.1171875,2.234375,2.1484375,17973600.0,1.0425114631652832
2000-02-08,2.21875,2.171875,2.171875,2.1953125,13179200.0,1.082898736000061
2000-02-09,2.1875,2.125,2.1875,2.1328125,9064800.0,1.052068829536438
2000-02-10,2.1875,2.046875,2.125,2.15625,9249600.0,1.063630223274231
2000-02-11,2.171875,2.046875,2.171875,2.09375,9435200.0,1.032800316810608
2000-02-14,2.109375,2.0390625,2.1015625,2.0859375,6545600.0,1.0289466381072998
2000-02-15,2.0859375,2.015625,2.0859375,2.0390625,9323200.0,1.005824327468872
2000-02-16,2.046875,1.9375,2.046875,1.953125,13372000.0,0.963433027267456
2000-02-17,2.0234375,1.875,1.9453125,1.8984375,15456000.0,0.9364569187164307
2000-02-18,1.953125,1.875,1.921875,1.890625,13061600.0,0.9326026439666748
2000-02-22,1.921875,1.84375,1.921875,1.859375,8357600.0,0.9171881675720215
2000-02-23,1.8984375,1.8359375,1.875,1.8359375,6146400.0,0.9056270122528076
2000-02-24,1.828125,1.7421875,1.8125,1.78125,10845600.0,0.8786507844924927
2000-02-25,1.84375,1.7421875,1.78125,1.765625,13180800.0,0.8709434866905212
2000-02-28,1.875,1.765625,1.765625,1.875,24096000.0,0.9248956441879272
2000-02-29,2.03125,1.890625,1.890625,1.9921875,26546400.0,0.9827019572257996
2000-03-01,2.078125,1.953125,2.0234375,2.0625,27174400.0,1.017385482788086
2000-03-02,2.1640625,2.0625,2.0703125,2.09375,15819200.0,1.032800316810608
2000-03-03,2.15625,1.9453125,2.03125,2.1171875,11916000.0,1.0443612337112427
2000-03-06,2.09375,2.015625,2.09375,2.046875,7564000.0,1.0096776485443115
2000-03-07,2.0390625,1.9375,2.03125,1.953125,8252000.0,0.963433027267456
2000-03-08,1.96875,1.8515625,1.875,1.96875,17496800.0,0.9711406230926514
2000-03-09,1.9609375,1.90625,1.9375,1.953125,25407200.0,0.963433027267456
2000-03-10,1.9375,1.8984375,1.9140625,1.90625,16752800.0,0.9403104782104492
2000-03-13,1.890625,1.8125,1.890625,1.875,18860000.0,0.9248956441879272
2000-03-14,1.921875,1.84375,1.8671875,1.890625,15794400.0,0.9326026439666748
2000-03-15,2.1484375,1.84375,1.859375,2.125,27708800.0,1.0482147932052612
2000-03-16,2.625,2.1953125,2.21875,2.5,50528800.0,1.23319411277771
2000-03-17,2.5234375,2.375,2.515625,2.375,31469600.0,1.1715346574783325
2000-03-20,2.46875,2.375,2.40625,2.4609375,13784800.0,1.2139256000518799
2000-03-21,2.53125,2.4609375,2.4921875,2.5,29170400.0,1.23319411277771
2000-03-22,2.5,2.4375,2.4921875,2.4921875,20886400.0,1.22934091091156
2000-03-23,2.5,2.4453125,2.4921875,2.4921875,12995200.0,1.22934091091156
2000-03-24,2.6171875,2.484375,2.5,2.609375,19417600.0,1.2871462106704712
2000-03-27,2.6328125,2.5625,2.5859375,2.5859375,18944000.0,1.275585651397705
2000-03-28,2.8046875,2.6015625,2.6171875,2.6328125,20434400.0,1.2987074851989746
2000-03-29,2.671875,2.578125,2.65625,2.640625,21820800.0,1.302561640739441
2000-03-30,3.0,2.6328125,2.6328125,2.8671875,36228800.0,1.4143201112747192
2000-03-31,3.0703125,2.765625,2.890625,2.7734375,44549600.0,1.3680747747421265
2000-04-03,3.0,2.8125,2.8125,2.9765625,18180000.0,1.4682719707489014
2000-04-04,3.0546875,2.78125,2.9765625,2.9140625,21895200.0,1.4374412298202515
2000-04-05,2.984375,2.8828125,2.9453125,2.9609375,9339200.0,1.4605637788772583
2000-04-06,2.9609375,2.8125,2.953125,2.875,29628000.0,1.4181736707687378
2000-04-07,2.9453125,2.8203125,2.875,2.859375,18076800.0,1.4104663133621216
2000-04-10,2.828125,2.75,2.8203125,2.7734375,22452000.0,1.3680747747421265
2000-04-11,2.765625,2.6640625,2.75,2.71875,20360800.0,1.341098427772522
2000-04-12,2.7890625,2.6953125,2.71875,2.6953125,18223200.0,1.3295376300811768
2000-04-13,2.765625,2.6328125,2.7265625,2.6328125,26545600.0,1.2987074851989746
2000-04-14,2.6328125,2.421875,2.625,2.46875,21734400.0,1.2177796363830566
2000-04-17,2.5234375,2.4765625,2.5,2.5,16349600.0,1.23319411277771
2000-04-18,2.546875,2.484375,2.5,2.515625,9162400.0,1.2409019470214844
2000-04-19,2.5859375,2.5234375,2.546875,2.5546875,7352800.0,1.2601704597473145
2000-04-20,2.5859375,2.5390625,2.578125,2.5625,11044000.0,1.264024257659912
2000-04-24,2.5859375,2.5234375,2.53125,2.5546875,11687200.0,1.2601704597473145
2000-04-25,2.5390625,2.46875,2.5234375,2.4765625,21580800.0,1.2216333150863647
2000-04-26,2.5,2.3046875,2.4921875,2.3203125,20153600.0,1.1445584297180176
2000-04-27,2.3046875,2.171875,2.25,2.25,18437600.0,1.1098748445510864
2000-04-28,2.484375,2.3671875,2.40625,2.3984375,15627200.0,1.1830953359603882
2000-05-01,2.4296875,2.3828125,2.4140625,2.421875,13691200.0,1.1946568489074707
2000-05-02,2.3984375,2.2578125,2.375,2.3828125,17750400.0,1.1753884553909302
2000-05-03,2.328125,2.2265625,2.328125,2.234375,19820000.0,1.1021672487258911
2000-05-04,2.390625,2.296875,2.34375,2.3359375,13243200.0,1.152266025543213
2000-05-05,2.40625,2.3046875,2.3046875,2.3515625,9849600.0,1.1599730253219604
2000-05-08,2.3515625,2.25,2.34375,2.2734375,16074400.0,1.1214359998703003
2000-05-09,2.34375,2.28125,2.3046875,2.3203125,8495200.0,1.165056824684143
2000-05-10,2.3203125,2.265625,2.296875,2.28125,9864800.0,1.1454434394836426
2000-05-11,2.28125,2.203125,2.265625,2.25,11016800.0,1.129752278327942
2000-05-12,2.28125,2.2421875,2.265625,2.2578125,9217600.0,1.1336749792099
2000-05-15,2.4375,2.265625,2.265625,2.4375,13791200.0,1.2238985300064087
2000-05-16,2.578125,2.46875,2.546875,2.5,19102400.0,1.2552800178527832
2000-05-17,2.5,2.4453125,2.46875,2.453125,14739200.0,1.2317439317703247
2000-05-18,2.5078125,2.390625,2.390625,2.5,16905600.0,1.2552800178527832
2000-05-19,2.578125,2.4765625,2.4765625,2.5625,15934400.0,1.286662220954895
2000-05-22,2.609375,2.5234375,2.578125,2.546875,8154400.0,1.2788164615631104
2000-05-23,2.7109375,2.5546875,2.5625,2.6484375,11828800.0,1.3298128843307495
2000-05-24,2.6640625,2.5703125,2.6640625,2.609375,17385600.0,1.3101985454559326
2000-05-25,2.65625,2.59375,2.609375,2.609375,12440000.0,1.3101985454559326
2000-05-26,2.609375,2.5859375,2.609375,2.5859375,3437600.0,1.2984306812286377
2000-05-30,2.671875,2.5859375,2.59375,2.6328125,4646400.0,1.3219672441482544
2000-05-31,2.7734375,2.640625,2.6640625,2.703125,6007200.0,1.3572720289230347
2000-06-01,2.796875,2.6484375,2.65625,2.7421875,9860800.0,1.3768861293792725
2000-06-02,2.7890625,2.7421875,2.75,2.78125,6104800.0,1.3964992761611938
2000-06-05,2.796875,2.71875,2.78125,2.71875,5858400.0,1.3651173114776611
2000-06-06,2.671875,2.5234375,2.671875,2.5390625,8768800.0,1.2748939990997314
2000-06-07,2.6796875,2.5546875,2.5546875,2.6484375,6613600.0,1.3298128843307495
2000-06-08,2.65625,2.5546875,2.65625,2.609375,7303200.0,1.3101985454559326
2000-06-09,2.640625,2.59375,2.59375,2.59375,5076800.0,1.3023531436920166
2000-06-12,2.625,2.5078125,2.625,2.515625,5986400.0,1.263126254081726
2000-06-13,2.5,2.4453125,2.4921875,2.4921875,7775200.0,1.2513577938079834
2000-06-14,2.4921875,2.40625,2.46875,2.4453125,10728000.0,1.2278215885162354
2000-06-15,2.5625,2.453125,2.453125,2.515625,6537600.0,1.263126254081726
2000-06-16,2.5234375,2.4609375,2.515625,2.5,14128800.0,1.2552800178527832
2000-06-19,2.5078125,2.4375,2.4921875,2.4453125,7685600.0,1.2278215885162354
2000-06-20,2.4375,2.328125,2.4375,2.328125,11052000.0,1.1689796447753906
2000-06-21,2.3828125,2.2734375,2.359375,2.296875,14386400.0,1.1532889604568481
2000-06-22,2.3671875,2.2890625,2.328125,2.2890625,15035200.0,1.1493661403656006
2000-06-23,2.3203125,2.28125,2.3125,2.3203125,12373600.0,1.165056824684143
2000-06-26,2.359375,2.296875,2.3125,2.3046875,6770400.0,1.157211422920227
2000-06-27,2.40625,2.3125,2.3203125,2.3984375,11615200.0,1.20428466796875
2000-06-28,2.40625,2.3359375,2.390625,2.376953125,7752800.0,1.1934969425201416
2000-06-29,2.3671875,2.3203125,2.359375,2.34375,4445600.0,1.1768252849578857
2000-06-30,2.390625,2.328125,2.328125,2.34375,15845600.0,1.1768252849578857
2000-07-03,2.3359375,2.3046875,2.328125,2.3203125,3979200.0,1.165056824684143
2000-07-05,2.3125,2.234375,2.3046875,2.2890625,6499200.0,1.1493661403656006
2000-07-06,2.2890625,2.2109375,2.265625,2.25,17416800.0,1.129752278327942
2000-07-07,2.28125,2.21875,2.28125,2.2734375,27703200.0,1.1415202617645264
2000-07-10,2.28125,2.2109375,2.2734375,2.28125,22993600.0,1.1454434394836426
2000-07-11,2.3125,2.234375,2.28125,2.3125,16064800.0,1.1611343622207642
2000-07-12,2.3125,2.28125,2.3125,2.3046875,8149600.0,1.157211422920227
2000-07-13,2.3203125,2.265625,2.3046875,2.3125,12140000.0,1.1611343622207642
2000-07-14,2.328125,2.28125,2.296875,2.328125,7180000.0,1.1689796447753906
2000-07-17,2.328125,2.2421875,2.328125,2.265625,7552800.0,1.137597918510437
2000-07-18,2.28125,2.21875,2.265625,2.2421875,8664800.0,1.1258295774459839
2000-07-19,2.2421875,2.1640625,2.2421875,2.1796875,14768800.0,1.0944474935531616
2000-07-20,2.2109375,2.1015625,2.203125,2.140625,24919200.0,1.0748341083526611
2000-07-21,2.1953125,2.140625,2.1484375,2.1484375,12356800.0,1.078756332397461
2000-07-24,2.1953125,2.140625,2.1484375,2.1875,17780800.0,1.0983699560165405
2000-07-25,2.203125,2.140625,2.1875,2.1484375,15572800.0,1.078756332397461
2000-07-26,2.1875,2.140625,2.140625,2.15625,16120000.0,1.082679271697998
2000-07-27,2.1953125,2.1015625,2.1796875,2.1171875,18575200.0,1.0630656480789185
2000-07-28,2.109375,2.0,2.078125,2.0234375,28556000.0,1.015992283821106
2000-07-31,2.109375,2.046875,2.0625,2.09375,12873600.0,1.0512974262237549
2000-08-01,2.09375,2.015625,2.0625,2.03125,11684000.0,1.0199148654937744
2000-08-02,2.12109375,2.015625,2.015625,2.09375,10177600.0,1.0512974262237549
2000-08-03,2.1484375,2.03125,2.09375,2.03125,20838400.0,1.0199148654937744
2000-08-04,2.0625,1.9765625,2.0625,2.0078125,20959200.0,1.00814688205719
2000-08-07,2.1328125,1.9921875,2.0,2.1171875,13138400.0,1.0630656480789185
2000-08-08,2.25,2.109375,2.109375,2.2109375,15715200.0,1.1315160989761353
2000-08-09,2.21875,2.1484375,2.21875,2.1875,18500000.0,1.1195213794708252
2000-08-10,2.1796875,2.1015625,2.171875,2.1015625,15093600.0,1.0755397081375122
2000-08-11,2.1875,2.09375,2.09375,2.1640625,13938400.0,1.1075267791748047
2000-08-14,2.171875,2.09375,2.15625,2.171875,19681600.0,1.1115247011184692
2000-08-15,2.203125,2.109375,2.1875,2.109375,19424800.0,1.079538345336914
2000-08-16,2.140625,2.1015625,2.125,2.1328125,16945600.0,1.0915331840515137
2000-08-17,2.171875,2.1328125,2.140625,2.1640625,25502400.0,1.1075267791748047
2000-08-18,2.1640625,2.1484375,2.1640625,2.15625,16007200.0,1.1035282611846924
2000-08-21,2.1875,2.15625,2.15625,2.1796875,6924800.0,1.1155226230621338
2000-08-22,2.2265625,2.1796875,2.1875,2.21875,7669600.0,1.1355148553848267
2000-08-23,2.359375,2.21875,2.21875,2.3359375,21364800.0,1.1954891681671143
2000-08-24,2.34375,2.28125,2.3359375,2.3046875,21323200.0,1.1794958114624023
2000-08-25,2.3359375,2.3046875,2.3046875,2.3125,5734400.0,1.183494210243225
2000-08-28,2.328125,2.28125,2.296875,2.28125,10559200.0,1.1675009727478027
2000-08-29,2.3046875,2.2578125,2.28125,2.28125,16126400.0,1.1675009727478027
2000-08-30,2.3125,2.28125,2.296875,2.3046875,7344000.0,1.1794958114624023
2000-08-31,2.3828125,2.265625,2.296875,2.353515625,18947200.0,1.2044847011566162
2000-09-01,2.53125,2.3515625,2.3515625,2.4921875,11868800.0,1.2754549980163574
2000-09-05,2.6171875,2.484375,2.4921875,2.59375,10949600.0,1.3274325132369995
2000-09-06,2.6015625,2.5546875,2.578125,2.5625,14427200.0,1.3114391565322876
2000-09-07,2.6875,2.5625,2.5625,2.65625,16331200.0,1.3594186305999756
2000-09-08,2.796875,2.75,2.7734375,2.7578125,10237600.0,1.4113963842391968
2000-09-11,2.75,2.6875,2.7421875,2.703125,9432800.0,1.3834086656570435
2000-09-12,2.75,2.7109375,2.7265625,2.75,11209600.0,1.407397985458374
2000-09-13,2.8359375,2.7578125,2.7578125,2.8046875,5596800.0,1.4353861808776855
2000-09-14,2.8359375,2.7890625,2.8203125,2.8203125,6351200.0,1.4433828592300415
2000-09-15,2.8828125,2.8046875,2.8671875,2.828125,13888800.0,1.4473812580108643
2000-09-18,2.859375,2.75,2.859375,2.75,7976800.0,1.407397985458374
2000-09-19,2.734375,2.6328125,2.71875,2.6640625,8520000.0,1.3634165525436401
2000-09-20,2.6796875,2.6328125,2.6640625,2.65625,7199200.0,1.3594186305999756
2000-09-21,2.78125,2.640625,2.65625,2.7734375,11818400.0,1.4193928241729736
2000-09-22,2.8203125,2.7265625,2.7734375,2.765625,8021600.0,1.4153951406478882
2000-09-25,2.859375,2.78125,2.796875,2.8046875,7283200.0,1.4353861808776855
2000-09-26,2.828125,2.734375,2.8125,2.75,12717600.0,1.407397985458374
2000-09-27,2.7578125,2.640625,2.75,2.6796875,22944000.0,1.3714138269424438
2000-09-28,2.7578125,2.6953125,2.6953125,2.7421875,7696800.0,1.403400182723999
2000-09-29,2.8203125,2.7421875,2.75,2.8125,6129600.0,1.439384937286377
2000-10-02,2.96875,2.8203125,2.8203125,2.8203125,9492000.0,1.4433828592300415
2000-10-03,2.890625,2.8203125,2.8203125,2.8671875,7280800.0,1.467373251914978
2000-10-04,3.203125,2.8671875,2.8671875,3.0390625,35366400.0,1.5553345680236816
2000-10-05,3.2890625,3.140625,3.25,3.2109375,26942400.0,1.643297553062439
2000-10-06,3.2421875,3.0546875,3.2421875,3.0859375,20085600.0,1.5793253183364868
2000-10-09,3.1171875,3.0625,3.1015625,3.09375,12187200.0,1.5833231210708618
2000-10-10,3.09375,3.03125,3.0859375,3.0390625,11436000.0,1.5553345680236816
2000-10-11,3.015625,2.875,3.0078125,2.921875,12628000.0,1.4953609704971313
